Cell_ID,SRA Accession,Run_ID,cell_line,tissue
s1696_mouse9_HBRX1921_Metastases_1cells,SRX15230649,SRR19164185,PDX3,Metastases
s1697_mouse9_HBRX1921_Metastases_0cells,SRX15230650,SRR19164184,PDX3,Metastases
s1698_mouse9_HBRX1921_Metastases_2cells,SRX15230651,SRR19164183,PDX3,Metastases
s1699_mouse9_HBRX1921_Metastases_1cells,SRX15228156,SRR19161862,PDX3,Metastases
s1700_mouse9_HBRX1921_Metastases_1cells,SRX15228157,SRR19161861,PDX3,Metastases
s1701_mouse9_HBRX1921_Metastases_debriscells,SRX15228158,SRR19161860,PDX3,Metastases
s1702_mouse9_HBRX1921_Metastases_1cells,SRX15228159,SRR19161859,PDX3,Metastases
s1703_mouse9_HBRX1921_Metastases_1cells,SRX15228160,SRR19161858,PDX3,Metastases
s1704_mouse9_HBRX1921_Metastases_1cells,SRX15228161,SRR19161857,PDX3,Metastases
s1705_mouse9_HBRX1921_Metastases_debriscells,SRX15228162,SRR19161856,PDX3,Metastases
s1706_mouse9_HBRX1921_Metastases_1cells,SRX15228163,SRR19161855,PDX3,Metastases
s1707_mouse9_HBRX1921_Metastases_1cells,SRX15228164,SRR19161854,PDX3,Metastases
s1708_mouse9_HBRX1921_Metastases_debriscells,SRX15228165,SRR19161853,PDX3,Metastases
s1709_mouse9_HBRX1921_Metastases_1cells,SRX15228166,SRR19161852,PDX3,Metastases
s1710_mouse9_HBRX1921_Metastases_1cells,SRX15228167,SRR19161851,PDX3,Metastases
s1711_mouse9_HBRX1921_Metastases_1cells,SRX15228168,SRR19161850,PDX3,Metastases
s1712_mouse9_HBRX1921_Metastases_1cells,SRX15228169,SRR19161849,PDX3,Metastases
s1713_mouse9_HBRX1921_Metastases_1cells,SRX15228170,SRR19161848,PDX3,Metastases
s1714_mouse9_HBRX1921_Metastases_1cells,SRX15228171,SRR19161847,PDX3,Metastases
s1715_mouse9_HBRX1921_Metastases_1cells,SRX15230504,SRR19163986,PDX3,Metastases
s1716_mouse9_HBRX1921_Metastases_debriscells,SRX15230505,SRR19163985,PDX3,Metastases
s1717_mouse9_HBRX1921_Metastases_debriscells,SRX15230506,SRR19163984,PDX3,Metastases
s1718_mouse9_HBRX1921_Metastases_1cells,SRX15230507,SRR19163983,PDX3,Metastases
s1719_mouse9_HBRX1921_Metastases_1cells,SRX15230508,SRR19163982,PDX3,Metastases
s1720_mouse9_HBRX1921_Metastases_2cells,SRX15230509,SRR19163981,PDX3,Metastases
s1721_mouse9_HBRX1921_Metastases_1cells,SRX15228274,SRR19162088,PDX3,Metastases
s1722_mouse9_HBRX1921_Metastases_1cells,SRX15228275,SRR19162087,PDX3,Metastases
s1723_mouse9_HBRX1921_Metastases_debriscells,SRX15228276,SRR19162086,PDX3,Metastases
s1724_mouse9_HBRX1921_Metastases_1cells,SRX15228277,SRR19162085,PDX3,Metastases
s1725_mouse10_HBRX1921_Metastases_1cells,SRX15228278,SRR19162084,PDX3,Metastases
s1726_mouse10_HBRX1921_Metastases_1cells,SRX15228279,SRR19162083,PDX3,Metastases
s1727_mouse10_HBRX1921_Metastases_debriscells,SRX15228280,SRR19162082,PDX3,Metastases
s1728_mouse10_HBRX1921_Metastases_1cells,SRX15228281,SRR19162081,PDX3,Metastases
s1729_mouse10_HBRX1921_Metastases_1cells,SRX15228282,SRR19162080,PDX3,Metastases
s1730_mouse10_HBRX1921_Metastases_1cells,SRX15228283,SRR19162079,PDX3,Metastases
s1731_mouse10_HBRX1921_Metastases_1cells,SRX15228496,SRR19162210,PDX3,Metastases
s1732_mouse10_HBRX1921_Metastases_1cells,SRX15228497,SRR19162209,PDX3,Metastases
s1733_mouse10_HBRX1921_Metastases_1cells,SRX15228498,SRR19162208,PDX3,Metastases
s1734_mouse10_HBRX1921_Metastases_1cells,SRX15228499,SRR19162207,PDX3,Metastases
s1735_mouse10_HBRX1921_Metastases_1cells,SRX15228500,SRR19162206,PDX3,Metastases
s1736_mouse10_HBRX1921_Metastases_1cells,SRX15228501,SRR19162205,PDX3,Metastases
s1737_mouse10_HBRX1921_Metastases_1cells,SRX15228502,SRR19162204,PDX3,Metastases
s1738_mouse10_HBRX1921_Metastases_1cells,SRX15228503,SRR19162203,PDX3,Metastases
s1739_mouse10_HBRX1921_Metastases_1cells,SRX15228504,SRR19162202,PDX3,Metastases
s1740_mouse10_HBRX1921_Metastases_1cells,SRX15228505,SRR19162201,PDX3,Metastases
s1741_mouse10_HBRX1921_Metastases_1cells,SRX15228506,SRR19162200,PDX3,Metastases
s1742_mouse10_HBRX1921_Metastases_1cells,SRX15228507,SRR19162199,PDX3,Metastases
s1743_mouse10_HBRX1921_Metastases_debriscells,SRX15228508,SRR19162198,PDX3,Metastases
s1744_mouse10_HBRX1921_Metastases_1cells,SRX15228509,SRR19162197,PDX3,Metastases
s1745_mouse10_HBRX1921_Metastases_1cells,SRX15228510,SRR19162196,PDX3,Metastases
s1746_mouse10_HBRX1921_Metastases_2cells,SRX15228511,SRR19162195,PDX3,Metastases
s1747_mouse10_HBRX1921_Metastases_1cells,SRX15230652,SRR19164182,PDX3,Metastases
s1748_mouse10_HBRX1921_Metastases_1cells,SRX15230653,SRR19164181,PDX3,Metastases
s1749_mouse10_HBRX1921_Metastases_1cells,SRX15230654,SRR19164180,PDX3,Metastases
s1750_mouse10_HBRX1921_Metastases_1cells,SRX15230655,SRR19164179,PDX3,Metastases
s1751_mouse10_HBRX1921_Metastases_1cells,SRX15230656,SRR19164178,PDX3,Metastases
s1752_mouse10_HBRX1921_Metastases_1cells,SRX15230657,SRR19164177,PDX3,Metastases
s1753_mouse10_HBRX1921_Metastases_1cells,SRX15230658,SRR19164176,PDX3,Metastases
s1754_mouse10_HBRX1921_Metastases_1cells,SRX15230659,SRR19164175,PDX3,Metastases
s1755_mouse10_HBRX1921_Metastases_1cells,SRX15230660,SRR19164174,PDX3,Metastases
s1756_mouse10_HBRX1921_Metastases_1cells,SRX15230661,SRR19164173,PDX3,Metastases
s1757_mouse10_HBRX1921_Metastases_1cells,SRX15230662,SRR19164172,PDX3,Metastases
s1758_mouse10_HBRX1921_Metastases_1cells,SRX15230663,SRR19164171,PDX3,Metastases
s1759_mouse10_HBRX1921_Metastases_1cells,SRX15230664,SRR19164170,PDX3,Metastases
s1760_mouse10_HBRX1921_Metastases_1cells,SRX15230665,SRR19164169,PDX3,Metastases
s1761_mouse10_HBRX1921_Metastases_1cells,SRX15230666,SRR19164168,PDX3,Metastases
s1762_mouse10_HBRX1921_Metastases_1cells,SRX15230667,SRR19164167,PDX3,Metastases
s1763_mouse10_HBRX1921_Metastases_1cells,SRX15228172,SRR19161846,PDX3,Metastases
s1764_mouse10_HBRX1921_Metastases_1cells,SRX15228173,SRR19161845,PDX3,Metastases
s1765_mouse10_HBRX1921_Metastases_1cells,SRX15228174,SRR19161844,PDX3,Metastases
s1766_mouse10_HBRX1921_Metastases_1cells,SRX15228175,SRR19161843,PDX3,Metastases
s1767_mouse10_HBRX1921_Metastases_1cells,SRX15228176,SRR19161842,PDX3,Metastases
s1768_mouse10_HBRX1921_Metastases_1cells,SRX15228177,SRR19161841,PDX3,Metastases
s1769_mouse10_HBRX1921_Metastases_1cells,SRX15228178,SRR19161840,PDX3,Metastases
s1770_mouse10_HBRX1921_Metastases_1cells,SRX15228179,SRR19161839,PDX3,Metastases
s1771_mouse10_HBRX1921_Metastases_debriscells,SRX15228180,SRR19161838,PDX3,Metastases
s1772_mouse10_HBRX1921_Metastases_0cells,SRX15228181,SRR19161837,PDX3,Metastases
s1773_mouse10_HBRX1921_Metastases_1cells,SRX15228182,SRR19161836,PDX3,Metastases
s1774_mouse10_HBRX1921_Metastases_1cells,SRX15228183,SRR19161835,PDX3,Metastases
s1775_mouse10_HBRX1921_Metastases_1cells,SRX15228184,SRR19161834,PDX3,Metastases
s1776_mouse10_HBRX1921_Metastases_1cells,SRX15228185,SRR19161833,PDX3,Metastases
s1777_mouse10_HBRX1921_Metastases_1cells,SRX15228186,SRR19161832,PDX3,Metastases
s1778_mouse10_HBRX1921_Metastases_1cells,SRX15228187,SRR19161831,PDX3,Metastases
s1779_mouse10_HBRX1921_Metastases_1cells,SRX15228284,SRR19162078,PDX3,Metastases
s1780_mouse10_HBRX1921_Metastases_1cells,SRX15228285,SRR19162077,PDX3,Metastases
s1781_mouse10_HBRX1921_Metastases_debriscells,SRX15228286,SRR19162076,PDX3,Metastases
s1782_mouse10_HBRX1921_Metastases_1cells,SRX15228287,SRR19162075,PDX3,Metastases
s1783_mouse10_HBRX1921_Metastases_2cells,SRX15228288,SRR19162074,PDX3,Metastases
s1784_mouse10_HBRX1921_Metastases_1cells,SRX15228289,SRR19162073,PDX3,Metastases
s1785_mouse10_HBRX1921_Metastases_1cells,SRX15228290,SRR19162072,PDX3,Metastases
s1786_mouse10_HBRX1921_Metastases_1cells,SRX15228291,SRR19162071,PDX3,Metastases
s1787_mouse10_HBRX1921_Metastases_1cells,SRX15228292,SRR19162070,PDX3,Metastases
s1788_mouse10_HBRX1921_Metastases_1cells,SRX15228293,SRR19162069,PDX3,Metastases
s1789_mouse10_HBRX1921_Metastases_1cells,SRX15228294,SRR19162068,PDX3,Metastases
s1790_mouse10_HBRX1921_Metastases_1cells,SRX15228295,SRR19162067,PDX3,Metastases
s1791_mouse10_HBRX1921_Metastases_debriscells,SRX15228296,SRR19162066,PDX3,Metastases
s1792_mouse10_HBRX1921_Metastases_1cells,SRX15228297,SRR19162065,PDX3,Metastases
s1793_mouse10_HBRX1921_Metastases_1cells,SRX15228298,SRR19162064,PDX3,Metastases
s1794_mouse10_HBRX1921_Metastases_1cells,SRX15228299,SRR19162063,PDX3,Metastases
s1795_mouse10_HBRX1921_Metastases_1cells,SRX15228512,SRR19162194,PDX3,Metastases
s1796_mouse10_HBRX1921_Metastases_1cells,SRX15228513,SRR19162193,PDX3,Metastases
s1797_mouse10_HBRX1921_Metastases_1cells,SRX15228514,SRR19162192,PDX3,Metastases
s1798_mouse10_HBRX1921_Metastases_debriscells,SRX15228515,SRR19162191,PDX3,Metastases
s1799_mouse10_HBRX1921_Metastases_1cells,SRX15228516,SRR19162190,PDX3,Metastases
s1800_mouse10_HBRX1921_Metastases_1cells,SRX15228517,SRR19162189,PDX3,Metastases
s1801_mouse10_HBRX1921_Metastases_debriscells,SRX15228518,SRR19162188,PDX3,Metastases
s1802_mouse10_HBRX1921_Metastases_1cells,SRX15228519,SRR19162187,PDX3,Metastases
s1803_mouse10_HBRX1921_Metastases_1cells,SRX15228520,SRR19162186,PDX3,Metastases
s1804_mouse10_HBRX1921_Metastases_1cells,SRX15228521,SRR19162185,PDX3,Metastases
s1805_mouse10_HBRX1921_Metastases_2cells,SRX15228522,SRR19162184,PDX3,Metastases
s1806_mouse10_HBRX1921_Metastases_1cells,SRX15228523,SRR19162183,PDX3,Metastases
s1807_mouse10_HBRX1921_Metastases_1cells,SRX15228524,SRR19162182,PDX3,Metastases
s1808_mouse10_HBRX1921_Metastases_1cells,SRX15228525,SRR19162181,PDX3,Metastases
s1809_mouse10_HBRX1921_Metastases_1cells,SRX15228526,SRR19162180,PDX3,Metastases
s1810_mouse10_HBRX1921_Metastases_1cells,SRX15228527,SRR19162179,PDX3,Metastases
s1811_mouse10_HBRX1921_Metastases_4cells,SRX15230668,SRR19164166,PDX3,Metastases
s1812_mouse10_HBRX1921_Metastases_1cells,SRX15230669,SRR19164165,PDX3,Metastases
s1813_mouse10_HBRX1921_Metastases_1cells,SRX15230670,SRR19164164,PDX3,Metastases
s1814_mouse10_HBRX1921_Metastases_1cells,SRX15230671,SRR19164163,PDX3,Metastases
s1815_mouse10_HBRX1921_Metastases_1cells,SRX15230672,SRR19164162,PDX3,Metastases
s1816_mouse10_HBRX1921_Metastases_debriscells,SRX15230673,SRR19164161,PDX3,Metastases
s1817_mouse10_HBRX1921_Metastases_debriscells,SRX15230674,SRR19164160,PDX3,Metastases
s1818_mouse10_HBRX1921_Metastases_0cells,SRX15230675,SRR19164159,PDX3,Metastases
s1819_mouse10_HBRX1921_Metastases_1cells,SRX15230676,SRR19164158,PDX3,Metastases
s1820_mouse10_HBRX1921_Metastases_1cells,SRX15230677,SRR19164157,PDX3,Metastases
s1821_mouse11_HBRX1921_Metastases_1cells,SRX15230678,SRR19164156,PDX3,Metastases
s1822_mouse11_HBRX1921_Metastases_1cells,SRX15230679,SRR19164155,PDX3,Metastases
s1823_mouse11_HBRX1921_Metastases_1cells,SRX15230680,SRR19164154,PDX3,Metastases
s1824_mouse11_HBRX1921_Metastases_1cells,SRX15230681,SRR19164153,PDX3,Metastases
s1825_mouse11_HBRX1921_Metastases_1cells,SRX15230740,SRR19164554,PDX3,Metastases
s1826_mouse11_HBRX1921_Metastases_1cells,SRX15230741,SRR19164553,PDX3,Metastases
s1827_mouse11_HBRX1921_Metastases_1cells,SRX15228188,SRR19161830,PDX3,Metastases
s1828_mouse11_HBRX1921_Metastases_1cells,SRX15228189,SRR19161829,PDX3,Metastases
s1829_mouse11_HBRX1921_Metastases_1cells,SRX15228190,SRR19161828,PDX3,Metastases
s1830_mouse11_HBRX1921_Metastases_1cells,SRX15228191,SRR19161827,PDX3,Metastases
s1831_mouse11_HBRX1921_Metastases_1cells,SRX15228192,SRR19161826,PDX3,Metastases
s1832_mouse11_HBRX1921_Metastases_1cells,SRX15228193,SRR19161825,PDX3,Metastases
s1833_mouse11_HBRX1921_Metastases_1cells,SRX15228194,SRR19161824,PDX3,Metastases
s1834_mouse11_HBRX1921_Metastases_1cells,SRX15228195,SRR19161823,PDX3,Metastases
s1835_mouse11_HBRX1921_Metastases_1cells,SRX15228196,SRR19161822,PDX3,Metastases
s1836_mouse11_HBRX1921_Metastases_1cells,SRX15228197,SRR19161821,PDX3,Metastases
s1837_mouse11_HBRX1921_Metastases_1cells,SRX15228198,SRR19161820,PDX3,Metastases
s1838_mouse11_HBRX1921_Metastases_1cells,SRX15228199,SRR19161819,PDX3,Metastases
s1839_mouse11_HBRX1921_Metastases_1cells,SRX15228200,SRR19161818,PDX3,Metastases
s1840_mouse11_HBRX1921_Metastases_1cells,SRX15228201,SRR19161817,PDX3,Metastases
s1841_mouse11_HBRX1921_Metastases_1cells,SRX15228202,SRR19161816,PDX3,Metastases
s1842_mouse11_HBRX1921_Metastases_1cells,SRX15228203,SRR19161815,PDX3,Metastases
s1843_mouse11_HBRX1921_Metastases_1cells,SRX15228300,SRR19162062,PDX3,Metastases
s1844_mouse11_HBRX1921_Metastases_1cells,SRX15228301,SRR19162061,PDX3,Metastases
s1845_mouse11_HBRX1921_Metastases_1cells,SRX15228302,SRR19162060,PDX3,Metastases
s1846_mouse11_HBRX1921_Metastases_1cells,SRX15228303,SRR19162059,PDX3,Metastases
s1847_mouse11_HBRX1921_Metastases_1cells,SRX15228304,SRR19162058,PDX3,Metastases
s1848_mouse11_HBRX1921_Metastases_1cells,SRX15228305,SRR19162057,PDX3,Metastases
s1849_mouse11_HBRX1921_Metastases_1cells,SRX15228306,SRR19162056,PDX3,Metastases
s1850_mouse11_HBRX1921_Metastases_1cells,SRX15228307,SRR19162055,PDX3,Metastases
s1851_mouse11_HBRX1921_Metastases_1cells,SRX15228308,SRR19162054,PDX3,Metastases
s1852_mouse11_HBRX1921_Metastases_1cells,SRX15228309,SRR19162053,PDX3,Metastases
s1853_mouse11_HBRX1921_Metastases_1cells,SRX15228310,SRR19162052,PDX3,Metastases
s1854_mouse11_HBRX1921_Metastases_1cells,SRX15228311,SRR19162051,PDX3,Metastases
s1855_mouse11_HBRX1921_Metastases_1cells,SRX15228312,SRR19162050,PDX3,Metastases
s1856_mouse11_HBRX1921_Metastases_1cells,SRX15228313,SRR19162049,PDX3,Metastases
s1857_mouse11_HBRX1921_Metastases_1cells,SRX15228314,SRR19162048,PDX3,Metastases
s1858_mouse11_HBRX1921_Metastases_1cells,SRX15228315,SRR19162047,PDX3,Metastases
s1859_mouse11_HBRX1921_Metastases_1cells,SRX15228528,SRR19162178,PDX3,Metastases
s1860_mouse11_HBRX1921_Metastases_1cells,SRX15228529,SRR19162177,PDX3,Metastases
s1861_mouse11_HBRX1921_Metastases_1cells,SRX15228530,SRR19162176,PDX3,Metastases
s1862_mouse11_HBRX1921_Metastases_1cells,SRX15228531,SRR19162175,PDX3,Metastases
s1863_mouse11_HBRX1921_Metastases_1cells,SRX15228532,SRR19162174,PDX3,Metastases
s1864_mouse11_HBRX1921_Metastases_1cells,SRX15228533,SRR19162173,PDX3,Metastases
s1865_mouse11_HBRX1921_Metastases_1cells,SRX15228534,SRR19162172,PDX3,Metastases
s1866_mouse11_HBRX1921_Metastases_1cells,SRX15228535,SRR19162171,PDX3,Metastases
s1867_mouse11_HBRX1921_Metastases_1cells,SRX15228536,SRR19162170,PDX3,Metastases
s1868_mouse11_HBRX1921_Metastases_1cells,SRX15228537,SRR19162169,PDX3,Metastases
s1869_mouse11_HBRX1921_Metastases_1cells,SRX15228538,SRR19162168,PDX3,Metastases
s1870_mouse11_HBRX1921_Metastases_1cells,SRX15228539,SRR19162167,PDX3,Metastases
s1871_mouse11_HBRX1921_Metastases_1cells,SRX15228540,SRR19162166,PDX3,Metastases
s1872_mouse11_HBRX1921_Metastases_1cells,SRX15228541,SRR19162165,PDX3,Metastases
s1873_mouse11_HBRX1921_Metastases_1cells,SRX15228542,SRR19162164,PDX3,Metastases
s1874_mouse11_HBRX1921_Metastases_1cells,SRX15228543,SRR19162163,PDX3,Metastases
s1875_mouse11_HBRX1921_Metastases_1cells,SRX15230742,SRR19164552,PDX3,Metastases
s1876_mouse11_HBRX1921_Metastases_1cells,SRX15230743,SRR19164551,PDX3,Metastases
s1877_mouse11_HBRX1921_Metastases_1cells,SRX15230744,SRR19164550,PDX3,Metastases
s1878_mouse11_HBRX1921_Metastases_1cells,SRX15230745,SRR19164549,PDX3,Metastases
s1879_mouse11_HBRX1921_Metastases_1cells,SRX15230746,SRR19164548,PDX3,Metastases
s1880_mouse11_HBRX1921_Metastases_1cells,SRX15230747,SRR19164547,PDX3,Metastases
s1881_mouse11_HBRX1921_Metastases_1cells,SRX15230748,SRR19164546,PDX3,Metastases
s1882_mouse11_HBRX1921_Metastases_1cells,SRX15230749,SRR19164545,PDX3,Metastases
s1883_mouse11_HBRX1921_Metastases_1cells,SRX15230750,SRR19164544,PDX3,Metastases
s1884_mouse11_HBRX1921_Metastases_1cells,SRX15230751,SRR19164543,PDX3,Metastases
s1885_mouse11_HBRX1921_Metastases_1cells,SRX15230752,SRR19164542,PDX3,Metastases
s1886_mouse11_HBRX1921_Metastases_1cells,SRX15230753,SRR19164541,PDX3,Metastases
s1887_mouse11_HBRX1921_Metastases_1cells,SRX15230754,SRR19164540,PDX3,Metastases
s1888_mouse11_HBRX1921_Metastases_1cells,SRX15230755,SRR19164539,PDX3,Metastases
s1889_mouse11_HBRX1921_Metastases_1cells,SRX15230756,SRR19164538,PDX3,Metastases
s1890_mouse11_HBRX1921_Metastases_1cells,SRX15230757,SRR19164537,PDX3,Metastases
s1891_mouse11_HBRX1921_Metastases_1cells,SRX15228204,SRR19161814,PDX3,Metastases
s1892_mouse11_HBRX1921_Metastases_1cells,SRX15228205,SRR19161813,PDX3,Metastases
s1893_mouse11_HBRX1921_Metastases_1cells,SRX15228206,SRR19161812,PDX3,Metastases
s1894_mouse11_HBRX1921_Metastases_1cells,SRX15228207,SRR19161811,PDX3,Metastases
s1895_mouse11_HBRX1921_Metastases_1cells,SRX15228208,SRR19161810,PDX3,Metastases
s1896_mouse11_HBRX1921_Metastases_1cells,SRX15228209,SRR19161809,PDX3,Metastases
s1897_mouse11_HBRX1921_Metastases_1cells,SRX15228210,SRR19161808,PDX3,Metastases
s1898_mouse11_HBRX1921_Metastases_1cells,SRX15228211,SRR19161807,PDX3,Metastases
s1899_mouse11_HBRX1921_Metastases_1cells,SRX15228212,SRR19161806,PDX3,Metastases
s1900_mouse11_HBRX1921_Metastases_1cells,SRX15228213,SRR19161805,PDX3,Metastases
s1901_mouse11_HBRX1921_Metastases_1cells,SRX15228214,SRR19161804,PDX3,Metastases
s1902_mouse11_HBRX1921_Metastases_1cells,SRX15228215,SRR19161803,PDX3,Metastases
s1903_mouse11_HBRX1921_Metastases_1cells,SRX15228216,SRR19161802,PDX3,Metastases
s1904_mouse11_HBRX1921_Metastases_1cells,SRX15228217,SRR19161801,PDX3,Metastases
s1905_mouse11_HBRX1921_Metastases_1cells,SRX15228218,SRR19161800,PDX3,Metastases
s1906_mouse11_HBRX1921_Metastases_1cells,SRX15228219,SRR19161799,PDX3,Metastases
s1907_mouse11_HBRX1921_Metastases_1cells,SRX15228316,SRR19162046,PDX3,Metastases
s1908_mouse11_HBRX1921_Metastases_1cells,SRX15228317,SRR19162045,PDX3,Metastases
s1909_mouse11_HBRX1921_Metastases_1cells,SRX15228318,SRR19162044,PDX3,Metastases
s1910_mouse11_HBRX1921_Metastases_1cells,SRX15228319,SRR19162043,PDX3,Metastases
s1911_mouse11_HBRX1921_Metastases_1cells,SRX15228320,SRR19162042,PDX3,Metastases
s1912_mouse11_HBRX1921_Metastases_1cells,SRX15228321,SRR19162041,PDX3,Metastases
s1913_mouse11_HBRX1921_Metastases_1cells,SRX15228322,SRR19162040,PDX3,Metastases
s1914_mouse11_HBRX1921_Metastases_1cells,SRX15228323,SRR19162039,PDX3,Metastases
s1915_mouse11_HBRX1921_Metastases_1cells,SRX15228324,SRR19162038,PDX3,Metastases
s1916_mouse11_HBRX1921_Metastases_1cells,SRX15228325,SRR19162037,PDX3,Metastases
s1917_mouse12_HBRX2353_Tumor_1cells,SRX15228326,SRR19162036,PDX2,Tumor
s1918_mouse12_HBRX2353_Tumor_1cells,SRX15228327,SRR19162035,PDX2,Tumor
s1919_mouse12_HBRX2353_Tumor_1cells,SRX15228328,SRR19162034,PDX2,Tumor
s1920_mouse12_HBRX2353_Tumor_1cells,SRX15228329,SRR19162033,PDX2,Tumor
s1921_mouse12_HBRX2353_Tumor_1cells,SRX15228330,SRR19162032,PDX2,Tumor
s1922_mouse12_HBRX2353_Tumor_1cells,SRX15228331,SRR19162031,PDX2,Tumor
s1923_mouse12_HBRX2353_Tumor_1cells,SRX15228544,SRR19162162,PDX2,Tumor
s1924_mouse12_HBRX2353_Tumor_1cells,SRX15228545,SRR19162161,PDX2,Tumor
s1925_mouse12_HBRX2353_Tumor_1cells,SRX15228546,SRR19162160,PDX2,Tumor
s1926_mouse12_HBRX2353_Tumor_1cells,SRX15228547,SRR19162159,PDX2,Tumor
s1927_mouse12_HBRX2353_Tumor_1cells,SRX15228548,SRR19162158,PDX2,Tumor
s1928_mouse12_HBRX2353_Tumor_1cells,SRX15228549,SRR19162157,PDX2,Tumor
s1929_mouse12_HBRX2353_Tumor_1cells,SRX15228550,SRR19162156,PDX2,Tumor
s1930_mouse12_HBRX2353_Tumor_1cells,SRX15228551,SRR19162155,PDX2,Tumor
s1931_mouse12_HBRX2353_Tumor_1cells,SRX15228552,SRR19162154,PDX2,Tumor
s1932_mouse12_HBRX2353_Tumor_1cells,SRX15228553,SRR19162153,PDX2,Tumor
s1933_mouse12_HBRX2353_Tumor_1cells,SRX15228554,SRR19162152,PDX2,Tumor
s1934_mouse12_HBRX2353_Tumor_1cells,SRX15228555,SRR19162151,PDX2,Tumor
s1935_mouse12_HBRX2353_Tumor_1cells,SRX15228556,SRR19162150,PDX2,Tumor
s1936_mouse12_HBRX2353_Tumor_1cells,SRX15228557,SRR19162149,PDX2,Tumor
s1937_mouse12_HBRX2353_Tumor_1cells,SRX15228558,SRR19162148,PDX2,Tumor
s1938_mouse12_HBRX2353_Tumor_1cells,SRX15228559,SRR19162147,PDX2,Tumor
s1939_mouse12_HBRX2353_Tumor_1cells,SRX15230758,SRR19164536,PDX2,Tumor
s1940_mouse12_HBRX2353_Tumor_1cells,SRX15230759,SRR19164535,PDX2,Tumor
s1941_mouse12_HBRX2353_Tumor_1cells,SRX15230760,SRR19164534,PDX2,Tumor
s1942_mouse12_HBRX2353_Tumor_1cells,SRX15230761,SRR19164533,PDX2,Tumor
s1943_mouse12_HBRX2353_Tumor_1cells,SRX15230762,SRR19164532,PDX2,Tumor
s1944_mouse12_HBRX2353_Tumor_1cells,SRX15230763,SRR19164531,PDX2,Tumor
s1945_mouse12_HBRX2353_Tumor_1cells,SRX15230764,SRR19164530,PDX2,Tumor
s1946_mouse12_HBRX2353_Tumor_1cells,SRX15230765,SRR19164529,PDX2,Tumor
s1947_mouse12_HBRX2353_Tumor_1cells,SRX15230766,SRR19164528,PDX2,Tumor
s1948_mouse12_HBRX2353_Tumor_1cells,SRX15230767,SRR19164527,PDX2,Tumor
s1949_mouse12_HBRX2353_Tumor_1cells,SRX15230768,SRR19164526,PDX2,Tumor
s1950_mouse12_HBRX2353_Tumor_1cells,SRX15230769,SRR19164525,PDX2,Tumor
s1951_mouse12_HBRX2353_Tumor_1cells,SRX15230770,SRR19164524,PDX2,Tumor
s1952_mouse12_HBRX2353_Tumor_1cells,SRX15230771,SRR19164523,PDX2,Tumor
s1953_mouse12_HBRX2353_Tumor_1cells,SRX15230772,SRR19164522,PDX2,Tumor
s1954_mouse12_HBRX2353_Tumor_1cells,SRX15230773,SRR19164521,PDX2,Tumor
s1955_mouse12_HBRX2353_Tumor_1cells,SRX15228220,SRR19161798,PDX2,Tumor
s1956_mouse12_HBRX2353_Tumor_1cells,SRX15228221,SRR19161797,PDX2,Tumor
s1957_mouse12_HBRX2353_Tumor_1cells,SRX15228222,SRR19161796,PDX2,Tumor
s1958_mouse12_HBRX2353_Tumor_1cells,SRX15228223,SRR19161795,PDX2,Tumor
s1959_mouse12_HBRX2353_Tumor_1cells,SRX15228224,SRR19161794,PDX2,Tumor
s1960_mouse12_HBRX2353_Tumor_1cells,SRX15228225,SRR19161793,PDX2,Tumor
s1961_mouse12_HBRX2353_Tumor_1cells,SRX15228226,SRR19161792,PDX2,Tumor
s1962_mouse12_HBRX2353_Tumor_1cells,SRX15228227,SRR19161791,PDX2,Tumor
s1963_mouse12_HBRX2353_Tumor_1cells,SRX15228228,SRR19161790,PDX2,Tumor
s1964_mouse12_HBRX2353_Tumor_0cells,SRX15228229,SRR19161789,PDX2,Tumor
s1965_mouse12_HBRX2353_Tumor_1cells,SRX15228230,SRR19161788,PDX2,Tumor
s1966_mouse12_HBRX2353_Tumor_1cells,SRX15228231,SRR19161787,PDX2,Tumor
s1967_mouse12_HBRX2353_Tumor_1cells,SRX15228232,SRR19161786,PDX2,Tumor
s1968_mouse12_HBRX2353_Tumor_1cells,SRX15228233,SRR19161785,PDX2,Tumor
s1969_mouse12_HBRX2353_Tumor_1cells,SRX15228234,SRR19161784,PDX2,Tumor
s1970_mouse12_HBRX2353_Tumor_1cells,SRX15228235,SRR19161783,PDX2,Tumor
s1971_mouse12_HBRX2353_Tumor_1cells,SRX15228332,SRR19162030,PDX2,Tumor
s1972_mouse12_HBRX2353_Tumor_1cells,SRX15228333,SRR19162029,PDX2,Tumor
s1973_mouse12_HBRX2353_Tumor_1cells,SRX15228334,SRR19162028,PDX2,Tumor
s1974_mouse12_HBRX2353_Tumor_1cells,SRX15228335,SRR19162027,PDX2,Tumor
s1975_mouse12_HBRX2353_Tumor_1cells,SRX15228336,SRR19162026,PDX2,Tumor
s1976_mouse12_HBRX2353_Tumor_1cells,SRX15228337,SRR19162025,PDX2,Tumor
s1977_mouse12_HBRX2353_Tumor_1cells,SRX15228338,SRR19162024,PDX2,Tumor
s1978_mouse12_HBRX2353_Tumor_1cells,SRX15228339,SRR19162023,PDX2,Tumor
s1979_mouse12_HBRX2353_Tumor_1cells,SRX15228340,SRR19162022,PDX2,Tumor
